module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
mwm,anytime,Chat with Wellness Companion,CWC,,"mwm_chat_wellness",false,wellness-companion,Chat Mode,"Have a supportive conversation with Riley, your wellness companion - get emotional support, gentle guidance, and a listening ear",,"emotional support",
mwm,anytime,Quick Breathing Exercise,QBE,,"mwm_breathing",false,meditation-guide,Breathing Action,"Quick 4-7-8 breathing exercise: Inhale 4, hold 7, exhale 8 - repeat 3 times for instant calm",,,"calm",
mwm,anytime,Mood Check,MC,,"mwm_mood_check",false,wellness-companion,Mood Check,"Take a moment to check in with how you're feeling right now - no judgment, just awareness",,,"emotional awareness",
mwm,anytime,Save Insight,SI,,"mwm_save_insight",false,wellness-companion,Save Action,"Save an important insight or realization to your wellness insights file for future reflection",mwm_memory_folder,"saved insight",
mwm,anytime,Mindful Moment,MM,,"mwm_mindful_moment",false,meditation-guide,Mindfulness Action,"Quick mindfulness moment for centering - ground yourself using the 5-4-3-2-1 technique",,,"present moment awareness",
mwm,anytime,Bedtime Meditation,BM,,"mwm_bedtime_meditation",false,meditation-guide,Sleep Action,"Gentle meditation to prepare your mind and body for restful sleep",,,"calm",
mwm,anytime,Body Scan,BS,,"mwm_body_scan",false,meditation-guide,Relaxation Action,"10-minute body scan meditation, progressively relaxing each part of the body from toes to head",,,"relaxation",
mwm,phase-1,Daily Check In,DCI,10,_bmad/mwm/workflows/daily-checkin/workflow.md,mwm_daily_checkin,false,wellness-companion,Daily Check In Mode,"Start your day with a gentle wellness check-in to set intentions and connect with how you're feeling",mwm_output_folder,"wellness check-in summary",
mwm,phase-2,Wellness Journal,WJ,20,_bmad/mwm/workflows/wellness-journal/workflow.md,mwm_wellness_journal,false,wellness-companion,Journal Mode,"Reflect on your wellness journey by writing in your personal journal - track patterns, insights, and growth over time",mwm_output_folder,"journal entry",
mwm,phase-3,Guided Meditation,GM,30,_bmad/mwm/workflows/guided-meditation/workflow.md,mwm_guided_meditation,false,meditation-guide,Meditation Mode,"Experience a guided meditation session to find calm, center yourself, and cultivate mindfulness",mwm_output_folder,"meditation session",
